Vivado Simulator 2019.2
Time resolution is 1 ps
===== Simulation ======
[CORRECT] s0 = 100100, s1 = 010100, s2 = 010011, s3 = 000101, result = 0010
[CORRECT] s0 = 000000, s1 = 111000, s2 = 010000, s3 = 000000, result = 0000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 100001, s3 = 000000, result = 0100
[CORRECT] s0 = 000000, s1 = 101000, s2 = 110010, s3 = 000000, result = 1000
[CORRECT] s0 = 000000, s1 = 100000, s2 = 000011, s3 = 000001, result = 0011
[CORRECT] s0 = 000000, s1 = 011000, s2 = 010100, s3 = 000001, result = 0000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 100101, s3 = 000001, result = 1000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 110110, s3 = 000001, result = 1000
[CORRECT] s0 = 000000, s1 = 000000, s2 = 000111, s3 = 000010, result = 0000
[CORRECT] s0 = 000000, s1 = 111000, s2 = 010111, s3 = 000010, result = 0010
[CORRECT] s0 = 000000, s1 = 110000, s2 = 101000, s3 = 000010, result = 1011
[CORRECT] s0 = 000000, s1 = 100000, s2 = 111001, s3 = 000010, result = 0100
[CORRECT] s0 = 000000, s1 = 011000, s2 = 001010, s3 = 000011, result = 1000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 011011, s3 = 000011, result = 1010
[CORRECT] s0 = 000000, s1 = 001000, s2 = 101100, s3 = 000011, result = 1111
[CORRECT] s0 = 000000, s1 = 000000, s2 = 111101, s3 = 000011, result = 0100
[CORRECT] s0 = 000000, s1 = 111000, s2 = 001101, s3 = 000100, result = 0000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 011110, s3 = 000100, result = 1010
[CORRECT] s0 = 000000, s1 = 101000, s2 = 101111, s3 = 000100, result = 0010
[CORRECT] s0 = 000000, s1 = 100000, s2 = 000000, s3 = 000101, result = 0011
[CORRECT] s0 = 000000, s1 = 011000, s2 = 010001, s3 = 000101, result = 0000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 100010, s3 = 000101, result = 0101
[CORRECT] s0 = 000000, s1 = 000000, s2 = 110011, s3 = 000101, result = 1100
[CORRECT] s0 = 000000, s1 = 111000, s2 = 000011, s3 = 000110, result = 0000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 010100, s3 = 000110, result = 0000
[CORRECT] s0 = 000000, s1 = 101000, s2 = 100101, s3 = 000110, result = 1000
[CORRECT] s0 = 000000, s1 = 100000, s2 = 110110, s3 = 000110, result = 1000
[CORRECT] s0 = 000000, s1 = 011000, s2 = 000111, s3 = 000111, result = 1000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 011000, s3 = 000111, result = 1000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 101001, s3 = 000111, result = 1100
[CORRECT] s0 = 000000, s1 = 000000, s2 = 111010, s3 = 000111, result = 1000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 001010, s3 = 001000, result = 0000
[CORRECT] s0 = 000000, s1 = 101000, s2 = 011011, s3 = 001000, result = 1010
[CORRECT] s0 = 000000, s1 = 100000, s2 = 101100, s3 = 001000, result = 1111
[CORRECT] s0 = 000000, s1 = 011000, s2 = 111101, s3 = 001000, result = 0100
[CORRECT] s0 = 000000, s1 = 010000, s2 = 001110, s3 = 001001, result = 0000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 011111, s3 = 001001, result = 1010
[CORRECT] s0 = 000000, s1 = 000000, s2 = 110000, s3 = 001001, result = 0000
[CORRECT] s0 = 000000, s1 = 111000, s2 = 000000, s3 = 001010, result = 0000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 010001, s3 = 001010, result = 0000
[CORRECT] s0 = 000000, s1 = 101000, s2 = 100010, s3 = 001010, result = 0101
[CORRECT] s0 = 000000, s1 = 011000, s2 = 110011, s3 = 001010, result = 1100
[CORRECT] s0 = 000000, s1 = 010000, s2 = 000100, s3 = 001011, result = 0000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 010101, s3 = 001011, result = 0000
[CORRECT] s0 = 000000, s1 = 000000, s2 = 100110, s3 = 001011, result = 1001
[CORRECT] s0 = 000000, s1 = 111000, s2 = 110110, s3 = 001011, result = 1000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 000111, s3 = 001100, result = 0000
[CORRECT] s0 = 000000, s1 = 101000, s2 = 011000, s3 = 001100, result = 1000
[CORRECT] s0 = 000000, s1 = 100000, s2 = 101001, s3 = 001100, result = 1100
[CORRECT] s0 = 000000, s1 = 011000, s2 = 111010, s3 = 001100, result = 1000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 001011, s3 = 001101, result = 0000
[CORRECT] s0 = 000000, s1 = 000000, s2 = 011100, s3 = 001101, result = 1000
[CORRECT] s0 = 000000, s1 = 111000, s2 = 101100, s3 = 001101, result = 1111
[CORRECT] s0 = 000000, s1 = 110000, s2 = 111101, s3 = 001101, result = 0100
[CORRECT] s0 = 000000, s1 = 101000, s2 = 001110, s3 = 001110, result = 1011
[CORRECT] s0 = 000000, s1 = 100000, s2 = 011111, s3 = 001110, result = 1010
[CORRECT] s0 = 000000, s1 = 011000, s2 = 110000, s3 = 001110, result = 0000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 000001, s3 = 001111, result = 0000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 010010, s3 = 001111, result = 0010
[CORRECT] s0 = 000000, s1 = 000000, s2 = 100011, s3 = 001111, result = 0110
[CORRECT] s0 = 000000, s1 = 111000, s2 = 110011, s3 = 001111, result = 1100
[CORRECT] s0 = 000000, s1 = 101000, s2 = 000100, s3 = 010000, result = 0000
[CORRECT] s0 = 000000, s1 = 100000, s2 = 010101, s3 = 010000, result = 0000
[CORRECT] s0 = 000000, s1 = 011000, s2 = 100110, s3 = 010000, result = 0000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 110111, s3 = 010000, result = 0000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 001000, s3 = 010001, result = 0000
[CORRECT] s0 = 000000, s1 = 000000, s2 = 011001, s3 = 010001, result = 0000
[CORRECT] s0 = 000000, s1 = 111000, s2 = 101001, s3 = 010001, result = 0000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 111010, s3 = 010001, result = 0000
[CORRECT] s0 = 000000, s1 = 101000, s2 = 001011, s3 = 010010, result = 0010
[CORRECT] s0 = 000000, s1 = 100000, s2 = 011100, s3 = 010010, result = 0010
[CORRECT] s0 = 000000, s1 = 010000, s2 = 101101, s3 = 010010, result = 0010
[CORRECT] s0 = 000000, s1 = 001000, s2 = 111110, s3 = 010010, result = 0010
[CORRECT] s0 = 000000, s1 = 000000, s2 = 001111, s3 = 010011, result = 0010
[CORRECT] s0 = 000000, s1 = 111000, s2 = 011111, s3 = 010011, result = 0010
[CORRECT] s0 = 000000, s1 = 110000, s2 = 110000, s3 = 010011, result = 0010
[CORRECT] s0 = 000000, s1 = 101000, s2 = 000001, s3 = 010100, result = 0000
[CORRECT] s0 = 000000, s1 = 100000, s2 = 010010, s3 = 010100, result = 0000
[CORRECT] s0 = 000000, s1 = 011000, s2 = 100011, s3 = 010100, result = 0000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 110100, s3 = 010100, result = 0000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 000101, s3 = 010101, result = 0000
[CORRECT] s0 = 000000, s1 = 111000, s2 = 010101, s3 = 010101, result = 0000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 100110, s3 = 010101, result = 0000
[CORRECT] s0 = 000000, s1 = 101000, s2 = 110111, s3 = 010101, result = 0000
[CORRECT] s0 = 000000, s1 = 100000, s2 = 001000, s3 = 010110, result = 0010
[CORRECT] s0 = 000000, s1 = 011000, s2 = 011001, s3 = 010110, result = 0010
[CORRECT] s0 = 000000, s1 = 010000, s2 = 101010, s3 = 010110, result = 0010
[CORRECT] s0 = 000000, s1 = 001000, s2 = 111011, s3 = 010110, result = 0010
[CORRECT] s0 = 000000, s1 = 000000, s2 = 001100, s3 = 010111, result = 0010
[CORRECT] s0 = 000000, s1 = 111000, s2 = 011100, s3 = 010111, result = 0010
[CORRECT] s0 = 000000, s1 = 110000, s2 = 101101, s3 = 010111, result = 0010
[CORRECT] s0 = 000000, s1 = 100000, s2 = 111110, s3 = 010111, result = 0010
[CORRECT] s0 = 000000, s1 = 011000, s2 = 001111, s3 = 011000, result = 1000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 100000, s3 = 011000, result = 1000
[CORRECT] s0 = 000000, s1 = 001000, s2 = 110001, s3 = 011000, result = 1000
[CORRECT] s0 = 000000, s1 = 000000, s2 = 000010, s3 = 011001, result = 1000
[CORRECT] s0 = 000000, s1 = 111000, s2 = 010010, s3 = 011001, result = 1000
[CORRECT] s0 = 000000, s1 = 110000, s2 = 100011, s3 = 011001, result = 1000
[CORRECT] s0 = 000000, s1 = 101000, s2 = 110100, s3 = 011001, result = 1000
[CORRECT] s0 = 000000, s1 = 100000, s2 = 000101, s3 = 011010, result = 1010
[CORRECT] s0 = 000000, s1 = 011000, s2 = 010110, s3 = 011010, result = 1010
[CORRECT] s0 = 000000, s1 = 001000, s2 = 100111, s3 = 011010, result = 1010
[CORRECT] s0 = 000000, s1 = 000000, s2 = 111000, s3 = 011010, result = 1010
[CORRECT] s0 = 000000, s1 = 111000, s2 = 001000, s3 = 011011, result = 1010
[CORRECT] s0 = 000000, s1 = 110000, s2 = 011001, s3 = 011011, result = 1010
[CORRECT] s0 = 000000, s1 = 101000, s2 = 101010, s3 = 011011, result = 1010
[CORRECT] s0 = 000000, s1 = 100000, s2 = 111011, s3 = 011011, result = 1010
[CORRECT] s0 = 000000, s1 = 011000, s2 = 001100, s3 = 011100, result = 1000
[CORRECT] s0 = 000000, s1 = 010000, s2 = 011101, s3 = 011100, result = 1000
